committee_id,committee_name,report_year,file_number,payee_name,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,support_oppose_indicator,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,candidate_party,election_type,election_type_full
C00487470,CLUB FOR GROWTH ACTION,2021,1514416,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),4/26/21 0:00,4/26/21 0:00,359.72,O,H8TX06266,"ELLZEY, JOHN KEVIN SR",H,TX,6,REP,S2021,SPECIAL-GENERAL
C00487470,CLUB FOR GROWTH ACTION,2022,1599420,CLUB FOR GROWTH,RADIO AD COSTS (FROM ADVANCE LINE 21),6/1/22 0:00,6/1/22 0:00,37.29,O,H2IL13120,"DAVIS, RODNEY L",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1567018,"BIG DOG STRATEGIES, LLC","MAIL PRODUCTION, POSTAGE",1/14/22 0:00,2/1/22 0:00,35186.58,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1563230,"ARMADA STRATEGIES, LLC",TV AD PLACEMENT,1/28/22 0:00,1/30/22 0:00,51012.5,O,S2OH00360,"TIMKEN, JANE",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1576498,COLD SPARK MEDIA,"DIGITAL AD PLACEMENT, PRODUCTION",3/23/22 0:00,3/24/22 0:00,158000,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1595604,"MEDIUM BUYING, LLC",TV AD PLACEMENT,5/16/22 0:00,5/18/22 0:00,198886.88,O,H2IL13120,"DAVIS, RODNEY L",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1556893,"ARMADA STRATEGIES, LLC",TV AD PLACEMENT,1/11/22 0:00,1/15/22 0:00,27825,O,S2OH00360,"TIMKEN, JANE",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1617956,CLUB FOR GROWTH,TV AD PRODUCTION (FROM ADVANCE LINE 21),7/20/22 0:00,7/20/22 0:00,436.04,O,H2MO07168,"WASSON, JAY",H,MO,7,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1569032,"ARMADA STRATEGIES, LLC",RADIO AD PLACEMENT,2/7/22 0:00,2/15/22 0:00,28125,S,S2NV00324,"LAXALT, ADAM",S,NV,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1547523,"ARMADA STRATEGIES, LLC",TV AD PLACEMENT,11/4/21 0:00,11/6/21 0:00,459842,O,S2OH00436,"VANCE, J D",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1590506,CLUB FOR GROWTH,TV AD PRODUCTION (FROM ADVANCE LINE 21),4/24/22 0:00,4/24/22 0:00,454.07,O,S2AL00145,"BRITT, KATIE BOYD",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1579070,CLUB FOR GROWTH,TV AD PRODUCTION (FROM ADVANCE LINE 21),4/6/22 0:00,4/6/22 0:00,324.37,S,H2NC05157,"HINES, ROBERT",H,NC,13,REP,P2022,
